BRCA_MT_T0-BRCA_WT_T0	pval	BRCA_MT_T3-BRCA_WT_T3	BRCA_MT_T6-BRCA_WT_T6	BRCA_MT_T9-BRCA_WT_T9	BRCA_MT_T24-BRCA_WT_T24	
AP1	0	0	0	-1	0	0
AR	0	-1	-1	-1	-1	-1
ARNT1	0	1	1	0	1	1
B-catenin	0	1	0	0	0	0
Brachyury	0	0	1	0	0	0
cMyc	0	-1	-1	-1	-1	-1
CRE	0	0	-1	-1	-1	0
E2F1	0	-1	-1	-1	-1	-1
ER	0	0	0	-1	-1	0
ETS1	0	-1	-1	-1	-1	-1
FOXA	0	1	1	0	0	0
GATA1	0	0	0	-1	0	0
GATA2	0	1	0	0	0	0
GLI	0	-1	-1	-1	-1	-1
GR	0	0	0	-1	-1	0
HNF1A	0	-1	-1	-1	-1	0
HOXa1	0	0	0	-1	-1	0
HSTF	0	0	0	-1	-1	0
IRF	0	-1	-1	-1	-1	-1
ISRE	0	0	0	-1	-1	0
KLF4	0	-1	-1	-1	-1	-1
LHX8	0	-1	-1	-1	-1	-1
MEF1	0	0	0	-1	-1	0
Mnx1	0	-1	-1	-1	-1	-1
Myb1	0	0	0	-1	-1	0
Nanog	0	-1	-1	-1	-1	-1
NFAT	0	0	0	0	0	1
Notch	0	-1	-1	-1	-1	-1
PEA3	0	0	0	-1	-1	-1
POUF1	0	1	1	-1	0	1
PR	0	1	1	0	0	0
PTTG	0	-1	-1	-1	-1	-1
RAR	0	1	1	0	0	1
RXR	0	1	0	0	0	0
SMAD	0	0	0	-1	-1	0
SMAD3/4	0	-1	-1	-1	-1	0
Sox	0	0	0	0	0	0
SP1	0	0	-1	-1	-1	0
SRE	0	0	0	0	-1	0
SRF	0	-1	0	-1	-1	0
STAT1	0	0	0	0	-1	0
STAT3	0	-1	-1	-1	-1	0
STAT5	0	1	1	0	0	1
WT1	0	-1	-1	-1	-1	0
YY1	0	0	0	0	-1	0
